RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
394377,638,"Bellefontaine, OH",msa,OH,118708,125875,113667,106800,100800,116133,123833,132133,127800,129050,123750,119800,120050,124700,124783,129417,125933,136633,133375,144208,136208,157833,159667,174333,168858,159692,157192,156083,164250,155333,148900,139150,132233,131917,137500,142483,142483,155150,143500,145583,122833,155817,154650,173900,168417,156667,154333,146833,174333,177333,181333,160400,165400,169817,183167,174167,181853,182770,183920,190233,189400,178250,167833,165333,181367,196033
394548,641,"Durant, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,218333,210000,214167,222833
394500,644,"Cornelia, GA",msa,GA,165250,161417,159333,150333,154967,153600,158933,162300,170000,166000,161433,155567,166200,173267,175467,172500,173333,181333,184875,184875,180542,185683,183599,183130,177233,177149,191452,191967,211967,200600,206967,202467,210817,221633,227967,240900,230917,216750,203667,217833,228817,234817,243150,241667,257483,257650,263400,249250,231567,230817,237450,252967,255300,257000,252333,256667,270000,268333,271833,263167,259833,259750,250083,250083,251483,267317
753889,645,"Hillsdale, MI",msa,MI,114550,106467,99460,104960,108260,117600,118933,117967,126317,120633,118467,107817,106933,106767,106542,103608,111942,118500,128917,132250,129150,128900,125233,131983,130650,135983,129667,132667,136667,148667,152667,157000,149667,153333,146333,148000,128300,130300,127733,142433,147400,156633,154967,156167,157834,162834,159417,165250,169733,175317,164483,167483,174117,183883,181400,180600,175333,179483,175317,166817,144167,133500,142467,150967,169967,176667
394961,647,"Paragould, AR",msa,AR,117800,115117,119283,116983,112667,109333,116667,121667,115833,110833,116233,118733,118233,113000,121333,131833,129000,125483,125450,136867,140717,140000,136567,129567,123650,120417,121217,129883,139467,150000,153833,147833,143750,145917,151917,162967,161800,159467,157317,155483,154483,158317,166617,174950,169950,162483,159733,160567,167567,174983,171833,175667,174300,181700,180000,169950,167517,167717,172450,163150,162950,157467,159100,157467,171133,177833
394850,651,"Menomonie, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213383,207417,210000,185150,199483,207483,219333,201667,209833,211333,222333,217000,215917,229242,233408,243325,228333,242500,240333,238333,224000,218000,220000,212150,218650,230317,235000,238333,253333
753918,652,"Shawano, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,121433,127733,140400,141467,144833,161500,167467,163633,152800,163300,158467,154717,145583,159583,158500,162983,161817,166483,170667,166467,176800,176167,177867,174117,171417,169417,163833,174667,185000,198333,208333,215000,204500,190500,180500,173500,179167,187500,211667,205000,225000
394375,654,"Bedford, IN",msa,IN,118900,108333,94167,96750,106083,110083,116833,114500,115650,119900,114233,119083,109308,117108,121775,117083,118617,121933,137133,132800,127400,124962,126462,129212,124650,125383,127350,134533,147300,150300,145267,145417,139267,151600,141517,147433,144100,150867,150067,150433,149017,161083,164033,171283,167583,169467,174717,170667,181500,180583,185000,173317,173283,168617,160633,159667,166000,182333,173333,164750,148567,175050,186967,197317,190833,192500
786259,655,"Grand Rapids, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179667,188833,200000,201000,207833,220333,229333,230000,215417,201417,191167,190333,197333,220707,230290,239957,229667,242500,239244,237494,217827,199417,186050,183050,189717,206000,214000,225667
394616,657,"Freeport, IL",msa,IL,,,,,,,,,,,,,,,,82817,86150,95783,101133,106133,104467,108550,102550,91250,87667,80333,91667,81833,93000,92333,88000,87167,91167,106667,99233,97567,94067,94875,89875,85342,88133,93967,108750,132217,139717,130300,124700,123850,130150,127600,133417,122783,126600,123717,131533,122567,124817,139667,133833,126333,102083,109233,99983,124233,124917,141500
